$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:142.     

JDAY,T(C)
 37785.335,   13.31
 37785.376,   13.25
 37785.417,   13.27
 37785.460,   13.34
 37785.503,   13.42
 37785.544,   13.49
 37785.584,   13.56
 37785.626,   13.61
 37785.667,   13.61
 37785.710,   13.59
 37785.751,   13.55
 37785.794,   13.48
 37785.834,   13.47
 37785.877,   13.48
 37785.920,   13.50
 37785.961,   13.40
 37786.003,   13.43
 37786.043,   13.41
 37786.083,   13.39
 37786.128,   13.43
 37786.167,   13.43
 37786.209,   13.39
 37786.253,   13.39
 37786.294,   13.41
 37786.337,   13.38
 37786.376,   13.35
 37786.418,   13.34
 37786.460,   13.33
 37786.504,   13.34
 37786.543,   13.38
 37786.586,   13.41
 37786.628,   13.45
 37786.670,   13.47
 37786.710,   13.42
 37786.753,   13.38
 37786.793,   13.39
 37786.834,   13.46
 37786.876,   13.57
 37786.917,   13.74
 37786.960,   13.89
 37787.004,   13.93
 37787.044,   13.90
 37787.084,   13.83
 37787.127,   13.62
 37787.169,   13.30
 37787.209,   13.36
 37787.253,   13.67
 37787.294,   13.68
 37787.336,   13.66
 37787.378,   13.66
 37787.418,   13.62
 37787.460,   13.60
 37787.503,   13.63
 37787.542,   13.68
 37787.584,   13.76
 37787.628,   13.83
 37787.668,   13.95
 37787.709,   14.01
 37787.751,   13.96
 37787.793,   13.69
 37787.834,   13.59
 37787.877,   13.51
 37787.917,   13.54
 37787.961,   13.74
 37788.002,   13.94
 37788.043,   14.08
 37788.084,   14.22
 37788.129,   14.16
 37788.169,   13.70
 37788.210,   13.49
 37788.251,   13.56
 37788.294,   13.59
 37788.335,   13.55
 37788.377,   13.56
 37788.418,   13.55
 37788.460,   13.56
 37788.504,   13.62
 37788.545,   13.83
 37788.586,   13.83
 37788.625,   13.75
 37788.669,   13.88
 37788.710,   13.78
 37788.751,   13.83
 37788.792,   13.99
 37788.835,   14.01
 37788.876,   14.04
 37788.918,   14.23
 37788.959,   14.26
 37789.003,   14.25
 37789.044,   14.33
 37789.084,   14.42
