$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:137.     

JDAY,QWD(m3s-1)
 37805.294,   26.2365
 37805.334,   26.2704
 37805.378,   26.3081
 37805.419,   26.3428
 37805.460,   26.3788
 37805.504,   26.4150
 37805.543,   26.4493
 37805.585,   26.4837
 37805.627,   26.5199
 37805.670,   26.5560
 37805.710,   26.5908
 37805.751,   26.6254
 37805.793,   26.6608
 37805.835,   26.6958
 37805.876,   26.7311
 37805.918,   26.7669
 37805.960,   26.8030
 37806.004,   26.8400
 37806.045,   26.8640
 37806.084,   26.8880
 37806.128,   26.9146
 37806.169,   26.9394
 37806.210,   26.9647
 37806.253,   26.9900
 37806.294,   27.0140
 37806.335,   27.0389
 37806.377,   27.0641
 37806.418,   27.0884
 37806.459,   27.1124
 37806.503,   27.1400
 37806.545,   27.1644
 37806.587,   27.1897
 37806.626,   27.2133
 37806.669,   27.2391
 37806.708,   27.2633
 37806.751,   27.2895
 37806.792,   27.3143
 37806.834,   27.3390
 37806.876,   27.3644
 37806.919,   27.3897
 37806.960,   27.4148
 37807.003,   27.4400
 37807.044,   27.4160
 37807.086,   27.3903
 37807.128,   27.3657
 37807.168,   27.3416
 37807.210,   27.3162
 37807.253,   27.2900
 37807.293,   27.2660
 37807.334,   27.2419
 37807.376,   27.2168
 37807.417,   27.1917
 37807.460,   27.1653
 37807.503,   27.1400
 37807.542,   27.1177
 37807.586,   27.0906
 37807.626,   27.0671
 37807.667,   27.0425
 37807.709,   27.0174
 37807.753,   26.9910
 37807.794,   26.9666
 37807.835,   26.9413
 37807.878,   26.9154
 37807.917,   26.8923
 37807.961,   26.8663
 37808.005,   26.8400
 37808.045,   26.7904
 37808.085,   26.7408
 37808.127,   26.6885
 37808.167,   26.6386
 37808.209,   26.5851
 37808.253,   26.5300
 37808.293,   26.4804
 37808.334,   26.4303
 37808.379,   26.3756
 37808.419,   26.3255
 37808.460,   26.2723
 37808.504,   26.2200
 37808.543,   26.1712
 37808.584,   26.1218
 37808.628,   26.0658
 37808.669,   26.0160
 37808.710,   25.9640
 37808.754,   25.9101
 37808.792,   25.8632
 37808.837,   25.8078
 37808.877,   25.7574
 37808.918,   25.7054
 37808.962,   25.6520
 37809.005,   25.6000
 37809.045,   25.6000
 37809.084,   25.6000
 37809.127,   25.6000
 37809.169,   25.6000
 37809.210,   25.6000
 37809.254,   25.6000
 37809.295,   25.6000
 37809.335,   25.6000
 37809.378,   25.6000
 37809.420,   25.6000
 37809.460,   25.6000
 37809.504,   25.6000
 37809.546,   25.6000
 37809.584,   25.6000
 37809.629,   25.6000
 37809.669,   25.6000
 37809.710,   25.6000
 37809.751,   25.6000
 37809.792,   25.6000
 37809.835,   25.6000
 37809.878,   25.6000
 37809.918,   25.6000
 37809.962,   25.6000
 37810.004,   25.6000
 37810.044,   25.6000
 37810.084,   25.6000
 37810.128,   25.6000
 37810.167,   25.6000
 37810.210,   25.6000
 37810.255,   25.6000
 37810.295,   25.6000
 37810.338,   25.6000
 37810.379,   25.6000
 37810.417,   25.6000
 37810.460,   25.6000
 37810.505,   25.6000
 37810.544,   25.6000
 37810.585,   25.6000
 37810.625,   25.6000
 37810.667,   25.6000
 37810.710,   25.6000
 37810.751,   25.6000
 37810.794,   25.6000
 37810.834,   25.6000
 37810.875,   25.6000
 37810.919,   25.6000
 37810.961,   25.6000
 37811.005,   25.6000
 37811.045,   25.6124
 37811.085,   25.6248
 37811.127,   25.6383
 37811.170,   25.6510
 37811.210,   25.6637
 37811.254,   25.6775
 37811.294,   25.6899
 37811.335,   25.7020
 37811.379,   25.7161
 37811.420,   25.7289
 37811.459,   25.7411
 37811.506,   25.7550
 37811.543,   25.7670
 37811.585,   25.7800
 37811.629,   25.7937
 37811.668,   25.8057
 37811.709,   25.8181
 37811.752,   25.8319
 37811.794,   25.8449
 37811.834,   25.8575
 37811.876,   25.8702
 37811.918,   25.8834
 37811.960,   25.8966
 37812.004,   25.9100
 37812.044,   25.8840
 37812.084,   25.8580
 37812.128,   25.8295
 37812.169,   25.8030
 37812.210,   25.7748
 37812.254,   25.7475
 37812.293,   25.7215
 37812.335,   25.6949
 37812.378,   25.6663
 37812.417,   25.6414
 37812.459,   25.6142
 37812.504,   25.5850
 37812.544,   25.5591
 37812.586,   25.5312
 37812.627,   25.5045
 37812.668,   25.4781
 37812.710,   25.4502
 37812.751,   25.4240
 37812.794,   25.3960
 37812.834,   25.3703
 37812.877,   25.3420
 37812.917,   25.3160
 37812.960,   25.2882
 37813.003,   25.2600
 37813.043,   25.2360
 37813.086,   25.2102
 37813.127,   25.1853
 37813.167,   25.1614
 37813.210,   25.1355
 37813.253,   25.1100
 37813.293,   25.0860
 37813.334,   25.0612
 37813.375,   25.0367
 37813.417,   25.0113
 37813.460,   24.9856
 37813.503,   24.9600
 37813.544,   24.9350
 37813.587,   24.9101
 37813.625,   24.8869
 37813.667,   24.8615
 37813.710,   24.8350
 37813.752,   24.8107
 37813.793,   24.7861
 37813.835,   24.7611
 37813.878,   24.7352
 37813.918,   24.7113
 37813.960,   24.6856
 37814.003,   24.6600
 37814.043,   24.5956
 37814.086,   24.5263
 37814.126,   24.4624
 37814.169,   24.3921
 37814.209,   24.3278
 37814.253,   24.2575
 37814.293,   24.1931
 37814.335,   24.1253
 37814.376,   24.0592
 37814.419,   23.9899
 37814.459,   23.9257
 37814.503,   23.8550
 37814.542,   23.7921
 37814.586,   23.7210
 37814.626,   23.6563
 37814.669,   23.5882
 37814.709,   23.5217
 37814.751,   23.4561
 37814.794,   23.3869
 37814.836,   23.3187
 37814.877,   23.2525
