,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/6/2023 5:00,37261.21,7.22,4.32,2.24,29.5,6.25,0
1/6/2023 6:00,37261.25,7.22,3.41,1.79,29.49,5.99,0
1/6/2023 7:00,37261.29,6.67,2.11,2.24,29.5,5.72,42
1/6/2023 8:00,37261.34,7.78,2.99,1.34,29.52,5.45,180
1/6/2023 9:00,37261.38,7.78,3.38,0.45,29.56,5.18,320
1/6/2023 10:00,37261.42,11.11,4.94,1.34,29.61,4.91,472
1/6/2023 11:00,37261.46,12.22,6.43,3.13,29.6,4.65,499
1/6/2023 12:00,37261.5,12.22,6.86,0.45,29.58,4.38,468
1/6/2023 13:00,37261.55,13.33,6.14,0.89,29.53,4.11,489
1/6/2023 14:00,37261.59,13.33,4.92,1.79,29.51,0,392
1/6/2023 15:00,37261.63,13.33,5.17,1.79,29.5,0,183
1/6/2023 16:00,37261.67,12.78,4.9,0.89,29.5,0.3,29
1/6/2023 17:00,37261.71,12.22,4.61,0.89,29.5,0.61,0
1/6/2023 18:00,37261.76,10.56,5.26,2.68,29.5,0.91,0
1/6/2023 19:00,37261.8,11.11,4.72,0.89,29.5,1.22,0
1/6/2023 20:00,37261.84,10,6.49,2.68,29.5,1.52,0
1/6/2023 21:00,37261.88,9.44,5.76,3.58,29.49,1.82,0
1/6/2023 22:00,37261.92,9.44,6.31,3.13,29.48,2.13,0
1/6/2023 23:00,37261.97,10,5.73,2.68,29.48,2.43,0
1/7/2023 0:00,37262,9.44,5.57,2.24,29.46,2.74,0
1/7/2023 1:00,37262.04,8.89,5.77,3.13,29.45,3.04,0
1/7/2023 2:00,37262.08,9.44,5.38,4.02,29.43,3.34,0
1/7/2023 3:00,37262.13,10,4.72,4.92,29.41,3.65,0
1/7/2023 4:00,37262.17,9.44,3.56,1.34,29.43,3.95,0
1/7/2023 5:00,37262.21,9.44,4.8,4.47,29.43,4.26,0
1/7/2023 6:00,37262.25,9.44,3.13,1.34,29.41,4.56,0
1/7/2023 7:00,37262.29,9.44,1.75,1.34,29.39,4.86,11
1/7/2023 8:00,37262.34,8.89,3.24,0.89,29.42,5.17,42
