,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/5/2022 12:00,36895.5,15.56,6.75,1.34,4.43,3.96,471
1/5/2022 13:00,36895.55,16.11,5.9,0.45,4.12,3.02,445
1/5/2022 14:00,36895.59,17.22,6.64,0.45,5.2,2.7,356
1/5/2022 15:00,36895.63,16.67,6.7,0.45,6.2,2.75,188
1/5/2022 16:00,36895.67,11.67,3.85,1.34,4.8,2.8,32
1/5/2022 17:00,36895.71,10.56,3.74,0.45,5.81,2.85,4
1/5/2022 18:00,36895.76,10.56,4.19,1.34,1.78,2.9,4
1/5/2022 19:00,36895.8,8.89,3.24,0.45,0.98,2.95,4
1/5/2022 20:00,36895.84,8.89,3.86,2.24,1.52,3,3
1/5/2022 21:00,36895.88,7.78,2.99,0.89,1.95,3.06,3
1/5/2022 22:00,36895.92,7.22,3.04,1.79,1.76,3.11,2
1/5/2022 23:00,36895.97,6.11,2.15,2.68,1.43,4.26,2
1/6/2022 0:00,36896,6.67,2.87,3.13,1.8,3.21,2
1/6/2022 1:00,36896.04,7.78,3.38,0.89,1.71,3.26,2
1/6/2022 2:00,36896.08,6.67,2.69,2.68,1.4,3.31,2
1/6/2022 3:00,36896.13,7.22,3.04,2.68,1.45,3.36,3
1/6/2022 4:00,36896.17,6.67,2.5,2.24,1.66,3.41,3
1/6/2022 5:00,36896.21,6.11,2.15,1.79,1.45,3.46,3
1/6/2022 6:00,36896.25,6.67,2.69,3.13,1.52,3.51,4
1/6/2022 7:00,36896.29,7.22,2.84,4.02,1.47,3.56,36
1/6/2022 8:00,36896.34,10,4.09,4.02,1.85,3.61,171
1/6/2022 9:00,36896.38,12.78,5.85,2.24,0.72,3.66,333
1/6/2022 10:00,36896.42,18.33,10.38,0.45,4.54,3.71,449
1/6/2022 11:00,36896.46,18.33,9.35,0,2.84,3.77,505
1/6/2022 12:00,36896.5,21.11,11.95,0.45,4.29,3.82,476
1/6/2022 13:00,36896.55,21.67,12.47,0.45,6.07,4.24,419
1/6/2022 14:00,36896.59,19.44,9.28,0.45,5.41,3.45,346
1/6/2022 15:00,36896.63,19.44,9.56,0,4.61,3.46,198
1/6/2022 16:00,36896.67,15,7.48,0.45,4.68,3.47,50
1/6/2022 17:00,36896.71,13.33,7.28,0.89,3.68,3.47,5
1/6/2022 18:00,36896.76,12.22,7.27,2.24,0.96,3.48,4
1/6/2022 19:00,36896.8,12.78,7.6,1.79,1.62,3.49,4
1/6/2022 20:00,36896.84,11.67,7.14,1.34,1.62,3.49,4
1/6/2022 21:00,36896.88,11.11,6,2.24,1.4,3.5,4
1/6/2022 22:00,36896.92,11.67,5.69,0.89,1.36,3.5,4
1/6/2022 23:00,36896.97,6.67,2.87,2.24,1.33,3.16,2
1/7/2022 0:00,36897,9.44,3.77,2.24,1.33,3.52,4
1/7/2022 1:00,36897.04,8.89,3.86,2.68,1.62,3.52,4
1/7/2022 2:00,36897.08,9.44,3.77,1.79,0.49,3.53,3
1/7/2022 3:00,36897.13,8.89,3.24,2.68,1.34,3.54,3
1/7/2022 4:00,36897.17,8.89,3.24,0.89,1.31,3.54,3
1/7/2022 5:00,36897.21,8.33,2.92,1.34,1.52,3.55,4
1/7/2022 6:00,36897.25,7.78,2.79,1.79,1.31,3.56,4
1/7/2022 7:00,36897.29,7.78,2.79,2.68,1.31,3.56,35
1/7/2022 8:00,36897.34,10.56,4.19,2.24,1.83,3.57,181
1/7/2022 9:00,36897.38,15.56,8.25,1.34,0.07,3.58,330
1/7/2022 10:00,36897.42,19.44,10.92,0.45,4,3.58,442
1/7/2022 11:00,36897.46,17.78,9.61,1.34,3.72,3.59,509
1/7/2022 12:00,36897.5,18.89,9.6,1.34,4.61,3.6,483
1/7/2022 13:00,36897.55,21.11,11.12,0.45,3.77,2.9,450
1/7/2022 14:00,36897.59,20.56,10.6,0,4.78,4.36,330
1/7/2022 15:00,36897.63,20,10.08,0.89,5.78,4.36,195
1/7/2022 16:00,36897.67,15.56,7.51,0.45,4.12,4.36,52
1/7/2022 17:00,36897.71,12.78,6.97,0.45,6.04,4.37,4
1/7/2022 18:00,36897.76,12.78,7.81,1.79,1.12,4.37,3
1/7/2022 19:00,36897.8,12.22,7.48,1.79,1.48,4.37,3
1/7/2022 20:00,36897.84,10.56,6.65,2.24,1.29,4.37,3
1/7/2022 21:00,36897.88,11.11,6.8,2.24,1.36,4.38,3
1/7/2022 22:00,36897.92,11.11,7.19,1.34,1.4,4.38,4
1/7/2022 23:00,36897.97,10,4.52,1.79,1.78,3.51,3
1/8/2022 0:00,36898,10.56,6.07,2.24,1.34,4.38,3
1/8/2022 1:00,36898.04,10,5.13,3.13,1.38,4.39,3
1/8/2022 2:00,36898.08,10,5.33,2.24,1.41,4.39,3
1/8/2022 3:00,36898.13,9.44,4.8,2.68,1.26,4.39,4
1/8/2022 4:00,36898.17,9.44,4.19,2.24,1.54,4.39,4
1/8/2022 5:00,36898.21,8.33,3.53,4.02,1.61,4.4,4
1/8/2022 6:00,36898.25,8.89,3.45,2.24,1.17,4.4,4
1/8/2022 7:00,36898.29,9.44,3.56,0.89,1.05,4.4,43
1/8/2022 8:00,36898.34,10,4.31,1.34,1.2,4.4,182
1/8/2022 9:00,36898.38,12.78,6.53,1.34,0.87,4.41,300
1/8/2022 10:00,36898.42,16.11,9.93,1.34,4.43,4.41,446
1/8/2022 11:00,36898.46,20,12.7,1.34,5.86,4.41,494
1/8/2022 12:00,36898.5,18.89,10.91,0.45,0.63,4.41,462
1/8/2022 13:00,36898.55,21.67,13.53,0.89,5.45,3.44,441
1/8/2022 14:00,36898.59,17.78,10.35,0.45,5.06,7.49,240
1/8/2022 15:00,36898.63,18.33,10.38,1.34,0.98,7.52,202
1/8/2022 16:00,36898.67,14.44,8.34,0.45,4.22,7.55,55
1/8/2022 17:00,36898.71,13.33,7.93,1.34,6.13,7.57,4
1/8/2022 18:00,36898.76,13.89,8.67,1.34,1.48,7.6,4
1/8/2022 19:00,36898.8,12.78,8.22,1.34,1.17,7.62,4
1/8/2022 20:00,36898.84,11.11,7.38,1.79,0.63,7.65,4
1/8/2022 21:00,36898.88,11.67,7.92,1.79,1.13,7.67,4
1/8/2022 22:00,36898.92,12.22,8.27,2.24,1.26,7.7,4
1/8/2022 23:00,36898.97,10.56,6.26,3.13,1.57,4.38,3
1/9/2022 0:00,36899,10.56,7.21,3.58,1.54,7.75,4
1/9/2022 1:00,36899.04,11.11,7,1.79,1.95,7.77,4
1/9/2022 2:00,36899.08,11.11,7,2.24,2.11,7.8,4
1/9/2022 3:00,36899.13,11.67,6.94,1.79,1.06,7.82,5
1/9/2022 4:00,36899.17,10.56,6.26,1.34,4.64,7.85,4
1/9/2022 5:00,36899.21,11.11,6.8,1.34,0.68,7.88,5
1/9/2022 6:00,36899.25,11.11,6.6,2.68,1.59,7.9,5
1/9/2022 7:00,36899.29,10.56,6.26,2.24,0.91,7.93,15
1/9/2022 8:00,36899.34,11.67,7.54,1.34,1.5,7.95,75
1/9/2022 9:00,36899.38,12.78,8.81,0.89,4.19,7.98,232
1/9/2022 10:00,36899.42,17.78,11.75,1.79,1.38,8,422
1/9/2022 11:00,36899.46,17.78,11.98,0.45,3.63,8.03,363
1/9/2022 12:00,36899.5,17.78,11.07,0.45,3.46,8.05,307
1/9/2022 13:00,36899.55,17.22,10.54,0.89,4.82,9.16,218
1/9/2022 14:00,36899.59,17.22,10.77,0.45,4.76,9.22,170
1/9/2022 15:00,36899.63,16.67,10.24,0.45,3.82,9.15,128
1/9/2022 16:00,36899.67,15,9.09,0.89,6.02,9.08,47
1/9/2022 17:00,36899.71,13.89,8.88,0.89,6.23,9.01,5
1/9/2022 18:00,36899.76,13.89,9.29,0.89,1.47,8.94,4
1/9/2022 19:00,36899.8,13.89,9.49,0.89,0.89,8.87,4
1/9/2022 20:00,36899.84,12.78,8.61,0.89,1.19,8.8,4
1/9/2022 21:00,36899.88,12.78,9,0.89,1.85,8.73,4
1/9/2022 22:00,36899.92,11.67,8.3,1.34,1.31,8.66,4
1/9/2022 23:00,36899.97,10.56,7.03,2.68,1.55,7.72,4
1/10/2022 0:00,36900,11.67,8.3,2.68,1.2,8.52,4
1/10/2022 1:00,36900.04,12.22,8.65,1.34,1.59,8.45,4
1/10/2022 2:00,36900.08,11.11,7.76,2.24,1.62,8.38,4
1/10/2022 3:00,36900.13,10.56,7.21,3.13,1.54,8.31,4
1/10/2022 4:00,36900.17,10.56,7.21,2.68,1.8,8.24,4
1/10/2022 5:00,36900.21,10.56,7.21,2.68,1.61,8.17,4
1/10/2022 6:00,36900.25,10.56,7.03,3.13,1.64,8.1,5
1/10/2022 7:00,36900.29,10,6.49,2.68,1.48,8.03,16
1/10/2022 8:00,36900.34,11.11,7.38,1.79,1.66,7.96,87
1/10/2022 9:00,36900.38,13.33,8.95,0.45,4.14,7.9,175
1/10/2022 10:00,36900.42,18.33,12.73,0.89,5.95,7.83,332
1/10/2022 11:00,36900.46,17.22,11.44,1.34,4.57,7.76,395
1/10/2022 12:00,36900.5,18.33,12.06,0.45,4.66,7.69,328
1/10/2022 13:00,36900.55,17.22,11.22,0.45,4.52,9.01,227
1/10/2022 14:00,36900.59,16.67,10.69,0,0.7,9.45,160
1/10/2022 15:00,36900.63,16.11,10.38,0.45,0.42,9.33,116
1/10/2022 16:00,36900.67,14.44,9.42,0.45,0.37,9.21,33
1/10/2022 17:00,36900.71,13.33,9.35,1.34,0.63,9.08,4
1/10/2022 18:00,36900.76,13.33,9.35,1.79,1.29,8.96,4
1/10/2022 19:00,36900.8,12.78,9.19,2.24,1.36,8.84,5
1/10/2022 20:00,36900.84,12.22,8.84,2.24,1.73,8.72,5
1/10/2022 21:00,36900.88,12.22,8.46,2.68,1.55,8.6,5
1/10/2022 22:00,36900.92,11.67,8.11,2.24,1.48,8.48,6
1/10/2022 23:00,36900.97,11.67,8.48,2.24,1.2,8.59,4
1/11/2022 0:00,36901,10.56,7.4,2.68,1.61,8.23,7
1/11/2022 1:00,36901.04,10.56,7.21,3.58,1.73,8.11,7
1/11/2022 2:00,36901.08,10.56,7.03,2.68,1.52,7.99,6
1/11/2022 3:00,36901.13,10.56,6.84,1.34,1.97,7.87,6
1/11/2022 4:00,36901.17,10,6.67,3.13,1.34,7.75,6
1/11/2022 5:00,36901.21,10.56,7.03,4.02,1.38,7.63,6
1/11/2022 6:00,36901.25,10,6.49,3.13,1.95,7.5,6
1/11/2022 7:00,36901.29,10.56,6.84,2.24,1.69,7.38,12
1/11/2022 8:00,36901.34,10.56,6.65,1.79,1.9,7.26,94
1/11/2022 9:00,36901.38,13.33,8.95,0.45,4.78,7.14,224
1/11/2022 10:00,36901.42,16.67,11.77,0.45,4,7.02,343
1/11/2022 11:00,36901.46,16.11,11.44,0.89,3.91,6.9,374
1/11/2022 12:00,36901.5,17.22,11.88,0.45,4.54,6.77,375
1/11/2022 13:00,36901.55,16.67,11.77,0.89,0.58,6.28,359
1/11/2022 14:00,36901.59,18.33,12.06,0.45,4.35,6.43,280
1/11/2022 15:00,36901.63,16.67,10.91,0,3.6,6.6,155
1/11/2022 16:00,36901.67,14.44,9.42,0.45,3.49,6.76,42
1/11/2022 17:00,36901.71,13.33,8.95,0.89,1.8,6.92,5
1/11/2022 18:00,36901.76,12.78,8.81,1.34,1.59,7.08,5
1/11/2022 19:00,36901.8,12.22,8.65,2.24,1.27,7.24,5
1/11/2022 20:00,36901.84,11.67,8.3,2.24,1.27,7.41,4
1/11/2022 21:00,36901.88,11.11,7.94,2.68,1.66,7.57,4
1/11/2022 22:00,36901.92,10.56,7.58,1.79,1.29,7.73,4
1/11/2022 23:00,36901.97,11.11,7.76,3.13,1.48,8.35,7
1/12/2022 0:00,36902,10.56,7.94,2.24,1.45,8.05,5
1/12/2022 1:00,36902.04,10,7.39,3.13,1.75,8.22,4
1/12/2022 2:00,36902.08,10,7.57,1.79,1.55,8.38,4
1/12/2022 3:00,36902.13,10,7.57,1.34,1.4,8.54,3
1/12/2022 4:00,36902.17,9.44,7.02,1.34,1.12,8.7,4
1/12/2022 5:00,36902.21,9.44,7.02,1.34,1.45,8.87,4
1/12/2022 6:00,36902.25,7.78,5.56,0.45,1.94,9.03,4
1/12/2022 7:00,36902.29,8.33,6.44,0.89,4.49,9.19,33
1/12/2022 8:00,36902.34,9.44,7.53,0.45,3.72,9.35,82
1/12/2022 9:00,36902.38,10,8.08,0.45,2.08,9.51,120
1/12/2022 10:00,36902.42,11.67,9.72,1.34,2.84,9.68,142
1/12/2022 11:00,36902.46,11.67,9.38,0.45,4.17,9.84,137
1/12/2022 12:00,36902.5,11.67,9.55,0.45,3.4,10,76
1/12/2022 13:00,36902.55,11.67,9.38,0.89,4.59,10,66
1/12/2022 14:00,36902.59,12.22,9.75,0.89,4.07,10,70
1/12/2022 15:00,36902.63,12.22,9.57,0.89,2.23,10,76
1/12/2022 16:00,36902.67,11.11,8.66,0.45,4.33,10,22
1/12/2022 17:00,36902.71,10.56,8.29,0.45,3.58,10,4
1/12/2022 18:00,36902.76,10.56,8.29,0.45,3.18,10,3
1/12/2022 19:00,36902.8,11.11,8.83,0.45,2.41,10,4
1/12/2022 20:00,36902.84,11.11,8.83,0.45,2.86,10,3
1/12/2022 21:00,36902.88,10.56,8.29,0,2.6,10,3
1/12/2022 22:00,36902.92,11.11,9.01,0.45,4.22,10,4
1/12/2022 23:00,36902.97,10.56,7.76,1.79,1.94,7.89,4
1/13/2022 0:00,36903,10.56,8.63,0.45,4.82,10,4
1/13/2022 1:00,36903.04,10,8.25,0.45,3.18,10,4
1/13/2022 2:00,36903.08,10,8.25,0.45,1.97,10,4
1/13/2022 3:00,36903.13,10,8.25,0.89,0.51,10,3
1/13/2022 4:00,36903.17,10,8.42,1.79,1.48,10,3
1/13/2022 5:00,36903.21,9.44,7.87,1.34,1.26,10,3
1/13/2022 6:00,36903.25,8.89,7.32,1.79,1.33,10,3
1/13/2022 7:00,36903.29,8.89,7.48,2.24,1.31,10,11
1/13/2022 8:00,36903.34,10,8.42,2.24,1.45,10,61
1/13/2022 9:00,36903.38,11.67,9.55,2.24,1.45,10,212
1/13/2022 10:00,36903.42,13.33,10.48,0.89,5.52,10,324
1/13/2022 11:00,36903.46,13.89,10.27,1.34,3.79,10,255
1/13/2022 12:00,36903.5,13.89,10.27,0.45,4.4,10,169
1/13/2022 13:00,36903.55,16.67,12.38,0.45,2.2,6.84,339
1/13/2022 14:00,36903.59,15,11.16,0.45,5.95,7.67,239
1/13/2022 15:00,36903.63,15.56,11.31,0,5.22,7.49,159
1/13/2022 16:00,36903.67,12.22,8.84,0.45,5.97,7.31,46
1/13/2022 17:00,36903.71,11.67,8.85,0.45,0.99,7.13,4
1/13/2022 18:00,36903.76,11.11,8.48,1.34,1.13,6.95,4
1/13/2022 19:00,36903.8,10,7.57,0.89,1.99,6.77,4
1/13/2022 20:00,36903.84,9.44,7.02,2.24,1.59,6.59,4
1/13/2022 21:00,36903.88,8.33,6.1,3.13,1.47,6.41,4
1/13/2022 22:00,36903.92,8.33,6.27,3.13,1.57,6.23,5
1/13/2022 23:00,36903.97,10.56,8.46,0.45,2.02,10,3
1/14/2022 0:00,36904,8.33,6.1,3.58,1.47,5.87,5
1/14/2022 1:00,36904.04,7.78,5.38,4.47,1.64,5.69,5
1/14/2022 2:00,36904.08,7.78,5.04,2.68,1.38,5.51,5
1/14/2022 3:00,36904.13,8.33,4.86,2.68,1.5,5.33,5
1/14/2022 4:00,36904.17,7.22,4.14,2.68,1.68,5.16,5
1/14/2022 5:00,36904.21,7.78,4.14,1.79,1.78,4.98,6
1/14/2022 6:00,36904.25,6.67,3.06,1.34,2.27,4.8,6
