$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,T(C)
 37786.169,    9.11
 37786.210,    9.11
 37786.253,    9.11
 37786.293,    9.11
 37786.336,    9.10
 37786.376,    9.09
 37786.419,    9.09
 37786.459,    9.08
 37786.504,    9.07
 37786.542,    9.06
 37786.586,    9.06
 37786.625,    9.05
 37786.668,    9.05
 37786.709,    9.06
 37786.753,    9.06
 37786.793,    9.06
 37786.835,    9.06
 37786.877,    9.07
 37786.918,    9.07
 37786.960,    9.07
 37787.004,    9.08
 37787.043,    9.09
 37787.086,    9.10
 37787.127,    9.10
 37787.168,    9.10
 37787.209,    9.11
 37787.254,    9.11
 37787.294,    9.11
 37787.334,    9.10
 37787.378,    9.10
 37787.418,    9.09
 37787.459,    9.09
 37787.504,    9.09
 37787.543,    9.08
 37787.585,    9.08
 37787.628,    9.08
 37787.667,    9.07
 37787.710,    9.07
 37787.751,    9.07
 37787.792,    9.07
 37787.834,    9.07
 37787.877,    9.08
 37787.917,    9.08
 37787.962,    9.07
 37788.004,    9.07
 37788.044,    9.07
 37788.084,    9.07
 37788.125,    9.07
 37788.170,    9.08
 37788.210,    9.09
 37788.254,    9.09
 37788.294,    9.09
 37788.336,    9.10
 37788.377,    9.10
 37788.418,    9.11
 37788.460,    9.11
 37788.503,    9.11
 37788.544,    9.11
 37788.586,    9.11
 37788.625,    9.10
 37788.667,    9.09
 37788.710,    9.09
 37788.752,    9.08
 37788.794,    9.08
 37788.836,    9.07
 37788.877,    9.08
 37788.920,    9.08
 37788.960,    9.07
 37789.004,    9.08
 37789.043,    9.08
 37789.086,    9.09
 37789.128,    9.10
 37789.167,    9.11
 37789.210,    9.12
 37789.254,    9.12
 37789.294,    9.12
 37789.334,    9.12
 37789.376,    9.12
 37789.419,    9.12
 37789.460,    9.12
 37789.503,    9.10
 37789.543,    9.10
 37789.584,    9.09
 37789.627,    9.09
 37789.669,    9.09
 37789.709,    9.09
 37789.751,    9.08
 37789.794,    9.07
 37789.833,    9.07
 37789.875,    9.07
 37789.919,    9.07
 37789.961,    9.09
 37790.003,    9.09
 37790.042,    9.09
 37790.085,    9.08
 37790.126,    9.08
 37790.167,    9.09
 37790.210,    9.10
 37790.253,    9.11
 37790.293,    9.11
 37790.335,    9.11
 37790.375,    9.11
 37790.419,    9.11
 37790.460,    9.11
 37790.503,    9.11
 37790.544,    9.11
