$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,T(C)
 37786.086,    9.11
 37786.126,    9.12
 37786.169,    9.12
 37786.209,    9.12
 37786.253,    9.13
 37786.294,    9.14
 37786.336,    9.15
 37786.377,    9.15
 37786.420,    9.14
 37786.460,    9.14
 37786.504,    9.13
 37786.542,    9.12
 37786.585,    9.12
 37786.626,    9.12
 37786.667,    9.11
 37786.709,    9.11
 37786.752,    9.11
 37786.794,    9.11
 37786.836,    9.11
 37786.876,    9.11
 37786.918,    9.11
 37786.959,    9.12
 37787.004,    9.12
 37787.044,    9.11
 37787.084,    9.10
 37787.128,    9.09
 37787.169,    9.08
 37787.210,    9.09
 37787.254,    9.11
 37787.294,    9.12
 37787.336,    9.12
 37787.376,    9.13
 37787.418,    9.14
 37787.460,    9.15
 37787.503,    9.17
 37787.544,    9.18
 37787.587,    9.19
 37787.629,    9.20
 37787.669,    9.20
 37787.708,    9.20
 37787.753,    9.19
 37787.793,    9.16
 37787.833,    9.14
 37787.876,    9.12
 37787.917,    9.11
 37787.959,    9.11
 37788.002,    9.12
 37788.043,    9.11
 37788.084,    9.11
 37788.129,    9.10
 37788.168,    9.08
 37788.210,    9.07
 37788.254,    9.09
 37788.294,    9.11
 37788.336,    9.13
 37788.378,    9.15
 37788.418,    9.17
 37788.460,    9.18
 37788.504,    9.20
 37788.545,    9.21
 37788.584,    9.21
 37788.625,    9.21
 37788.667,    9.21
 37788.710,    9.20
 37788.753,    9.18
 37788.794,    9.19
 37788.834,    9.17
 37788.877,    9.15
 37788.918,    9.14
 37788.960,    9.12
 37789.003,    9.11
 37789.042,    9.10
 37789.084,    9.10
 37789.126,    9.08
 37789.167,    9.07
 37789.210,    9.06
 37789.252,    9.06
 37789.292,    9.07
 37789.334,    9.08
 37789.376,    9.10
 37789.419,    9.13
 37789.459,    9.17
 37789.503,    9.22
 37789.545,    9.25
 37789.583,    9.27
 37789.625,    9.28
 37789.667,    9.28
 37789.709,    9.26
 37789.750,    9.24
 37789.793,    9.24
 37789.835,    9.21
 37789.877,    9.19
 37789.919,    9.17
 37789.959,    9.13
 37790.003,    9.10
 37790.042,    9.08
 37790.086,    9.09
 37790.126,    9.10
 37790.168,    9.10
 37790.209,    9.10
 37790.253,    9.10
 37790.293,    9.12
 37790.335,    9.15
 37790.375,    9.17
 37790.419,    9.18
 37790.459,    9.19
 37790.503,    9.21
 37790.544,    9.24
 37790.583,    9.27
 37790.627,    9.31
 37790.668,    9.34
 37790.710,    9.35
 37790.751,    9.34
 37790.793,    9.32
 37790.834,    9.28
 37790.876,    9.26
 37790.918,    9.23
 37790.958,    9.21
 37791.004,    9.19
 37791.043,    9.17
 37791.087,    9.15
 37791.127,    9.14
 37791.167,    9.13
 37791.210,    9.12
 37791.253,    9.12
 37791.293,    9.12
 37791.337,    9.12
 37791.376,    9.12
 37791.420,    9.13
 37791.460,    9.14
 37791.503,    9.17
 37791.544,    9.19
 37791.586,    9.22
 37791.626,    9.25
 37791.669,    9.27
 37791.709,    9.30
 37791.752,    9.32
 37791.792,    9.33
 37791.836,    9.33
 37791.876,    9.33
 37791.919,    9.31
 37791.960,    9.30
 37792.002,    9.28
 37792.043,    9.26
 37792.086,    9.25
 37792.126,    9.23
 37792.168,    9.21
 37792.210,    9.20
 37792.253,    9.19
 37792.293,    9.18
 37792.335,    9.17
 37792.376,    9.17
 37792.418,    9.16
 37792.460,    9.17
 37792.503,    9.17
 37792.542,    9.17
 37792.583,    9.18
 37792.627,    9.19
 37792.669,    9.19
 37792.709,    9.19
 37792.751,    9.20
 37792.794,    9.20
 37792.835,    9.21
 37792.877,    9.22
 37792.919,    9.23
 37792.959,    9.23
 37793.003,    9.24
 37793.043,    9.25
 37793.085,    9.25
 37793.126,    9.25
 37793.168,    9.25
 37793.210,    9.24
 37793.253,    9.23
 37793.292,    9.22
 37793.334,    9.22
 37793.376,    9.21
 37793.419,    9.21
 37793.460,    9.21
 37793.502,    9.21
 37793.542,    9.21
 37793.584,    9.21
 37793.627,    9.21
 37793.667,    9.21
 37793.709,    9.20
 37793.751,    9.20
 37793.794,    9.20
 37793.836,    9.20
 37793.875,    9.21
 37793.918,    9.21
 37793.960,    9.20
 37794.002,    9.19
 37794.042,    9.18
 37794.085,    9.17
 37794.126,    9.16
 37794.169,    9.15
 37794.209,    9.15
 37794.252,    9.15
 37794.292,    9.15
 37794.333,    9.15
 37794.376,    9.14
 37794.418,    9.13
 37794.460,    9.13
 37794.502,    9.14
 37794.542,    9.15
 37794.585,    9.16
 37794.625,    9.17
 37794.667,    9.17
 37794.709,    9.16
 37794.752,    9.17
 37794.793,    9.18
 37794.835,    9.20
 37794.877,    9.22
 37794.919,    9.23
 37794.958,    9.24
 37795.002,    9.25
 37795.042,    9.25
 37795.084,    9.25
 37795.127,    9.26
 37795.168,    9.26
 37795.210,    9.26
 37795.252,    9.26
 37795.292,    9.26
 37795.335,    9.25
 37795.376,    9.24
 37795.418,    9.23
 37795.460,    9.22
 37795.502,    9.21
 37795.542,    9.20
 37795.584,    9.21
 37795.626,    9.21
 37795.668,    9.21
 37795.710,    9.21
 37795.752,    9.22
 37795.793,    9.24
 37795.835,    9.25
 37795.875,    9.27
 37795.917,    9.29
 37795.959,    9.30
 37796.002,    9.30
 37796.042,    9.29
 37796.084,    9.28
 37796.126,    9.27
 37796.168,    9.26
 37796.209,    9.24
 37796.252,    9.23
 37796.292,    9.21
 37796.335,    9.19
 37796.376,    9.19
 37796.418,    9.18
 37796.459,    9.18
 37796.502,    9.18
 37796.543,    9.18
 37796.584,    9.18
 37796.627,    9.19
 37796.667,    9.20
 37796.709,    9.21
 37796.751,    9.21
 37796.793,    9.22
 37796.835,    9.22
 37796.875,    9.22
 37796.917,    9.24
 37796.960,    9.26
 37797.002,    9.27
 37797.042,    9.28
 37797.084,    9.29
 37797.127,    9.30
 37797.168,    9.31
 37797.209,    9.32
 37797.252,    9.31
 37797.292,    9.30
 37797.335,    9.28
 37797.376,    9.27
 37797.418,    9.26
 37797.460,    9.25
 37797.502,    9.23
 37797.544,    9.21
 37797.585,    9.19
 37797.627,    9.18
 37797.667,    9.17
 37797.709,    9.17
 37797.751,    9.17
 37797.792,    9.16
 37797.835,    9.15
 37797.877,    9.16
