$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,QWD(m3s-1)
 37797.627,   11.0400
 37797.667,   11.0400
 37797.709,   11.0400
 37797.751,   11.0400
 37797.792,   11.0400
 37797.835,   11.0400
 37797.877,   11.0400
 37797.917,   11.0400
 37797.959,   11.0400
 37798.002,   11.0400
 37798.042,   11.0480
 37798.084,   11.0564
 37798.126,   11.0647
 37798.167,   11.0730
 37798.209,   11.0814
 37798.252,   11.0900
 37798.292,   11.0980
 37798.334,   11.1064
 37798.376,   11.1147
 37798.418,   11.1232
 37798.460,   11.1316
 37798.502,   11.1400
 37798.543,   11.1482
 37798.584,   11.1564
 37798.627,   11.1649
 37798.667,   11.1729
 37798.709,   11.1814
 37798.752,   11.1899
 37798.793,   11.1981
 37798.835,   11.2066
 37798.875,   11.2146
 37798.918,   11.2231
 37798.960,   11.2316
 37799.002,   11.2400
 37799.042,   11.2548
 37799.085,   11.2705
 37799.126,   11.2857
 37799.167,   11.3008
 37799.209,   11.3166
 37799.253,   11.3325
 37799.293,   11.3473
 37799.335,   11.3632
 37799.376,   11.3781
 37799.419,   11.3939
 37799.460,   11.4095
 37799.503,   11.4250
 37799.542,   11.4396
 37799.584,   11.4551
 37799.625,   11.4707
 37799.668,   11.4862
 37799.710,   11.5019
 37799.751,   11.5171
 37799.792,   11.5323
 37799.835,   11.5481
 37799.875,   11.5632
 37799.917,   11.5785
 37799.959,   11.5940
 37800.002,   11.6100
 37800.042,   11.6112
 37800.084,   11.6125
 37800.127,   11.6137
 37800.168,   11.6150
 37800.209,   11.6162
 37800.252,   11.6175
 37800.292,   11.6187
 37800.334,   11.6200
 37800.375,   11.6211
 37800.420,   11.6225
 37800.459,   11.6236
 37800.506,   11.6250
 37800.546,   11.6262
 37800.584,   11.6273
 37800.626,   11.6286
 37800.670,   11.6300
 37800.710,   11.6312
 37800.751,   11.6324
 37800.792,   11.6337
 37800.835,   11.6349
 37800.878,   11.6362
 37800.919,   11.6374
 37800.962,   11.6387
 37801.006,   11.6400
 37801.046,   11.6400
 37801.085,   11.6400
 37801.125,   11.6400
 37801.170,   11.6400
 37801.210,   11.6400
 37801.255,   11.6400
 37801.294,   11.6400
 37801.336,   11.6400
 37801.380,   11.6400
 37801.418,   11.6400
 37801.459,   11.6400
 37801.504,   11.6400
 37801.546,   11.6400
 37801.587,   11.6400
 37801.625,   11.6400
 37801.668,   11.6400
 37801.710,   11.6400
 37801.754,   11.6400
 37801.796,   11.6400
 37801.836,   11.6400
 37801.876,   11.6400
 37801.920,   11.6400
 37801.959,   11.6400
 37802.005,   11.6400
 37802.042,   11.6400
 37802.085,   11.6400
 37802.130,   11.6400
 37802.170,   11.6400
 37802.210,   11.6400
 37802.256,   11.6400
 37802.295,   11.6400
 37802.336,   11.6400
 37802.378,   11.6400
 37802.420,   11.6400
 37802.460,   11.6400
 37802.505,   11.6400
 37802.543,   11.6400
 37802.584,   11.6400
 37802.628,   11.6400
 37802.668,   11.6400
 37802.708,   11.6400
 37802.750,   11.6400
 37802.793,   11.6400
 37802.835,   11.6400
 37802.875,   11.6400
 37802.919,   11.6400
 37802.959,   11.6400
 37803.005,   11.6400
 37803.045,   11.6388
 37803.084,   11.6376
 37803.126,   11.6364
 37803.168,   11.6351
 37803.210,   11.6338
 37803.255,   11.6325
 37803.294,   11.6313
 37803.338,   11.6300
 37803.376,   11.6288
 37803.417,   11.6276
 37803.460,   11.6263
 37803.504,   11.6250
 37803.543,   11.6238
 37803.584,   11.6226
 37803.627,   11.6213
 37803.668,   11.6201
 37803.710,   11.6188
 37803.753,   11.6175
 37803.792,   11.6163
 37803.834,   11.6151
 37803.875,   11.6138
 37803.917,   11.6126
 37803.959,   11.6113
 37804.003,   11.6100
 37804.044,   11.6100
 37804.084,   11.6100
 37804.129,   11.6100
 37804.170,   11.6100
 37804.209,   11.6100
 37804.254,   11.6100
 37804.294,   11.6100
 37804.336,   11.6100
 37804.375,   11.6100
 37804.418,   11.6100
 37804.460,   11.6100
 37804.503,   11.6100
 37804.546,   11.6100
 37804.586,   11.6100
 37804.628,   11.6100
 37804.669,   11.6100
 37804.708,   11.6100
 37804.751,   11.6100
 37804.792,   11.6100
 37804.834,   11.6100
 37804.878,   11.6100
 37804.919,   11.6100
 37804.960,   11.6100
 37805.004,   11.6100
 37805.044,   11.6100
 37805.085,   11.6100
 37805.127,   11.6100
 37805.169,   11.6100
 37805.210,   11.6100
 37805.254,   11.6100
 37805.294,   11.6100
 37805.334,   11.6100
 37805.378,   11.6100
 37805.419,   11.6100
 37805.460,   11.6100
 37805.504,   11.6100
 37805.543,   11.6100
 37805.585,   11.6100
 37805.627,   11.6100
 37805.670,   11.6100
 37805.710,   11.6100
 37805.751,   11.6100
 37805.793,   11.6100
 37805.835,   11.6100
 37805.876,   11.6100
 37805.918,   11.6100
 37805.960,   11.6100
 37806.004,   11.6100
 37806.045,   11.6100
 37806.084,   11.6100
 37806.128,   11.6100
 37806.169,   11.6100
 37806.210,   11.6100
 37806.253,   11.6100
 37806.294,   11.6100
 37806.335,   11.6100
 37806.377,   11.6100
 37806.418,   11.6100
 37806.459,   11.6100
 37806.503,   11.6100
 37806.545,   11.6100
 37806.587,   11.6100
 37806.626,   11.6100
 37806.669,   11.6100
 37806.708,   11.6100
 37806.751,   11.6100
 37806.792,   11.6100
 37806.834,   11.6100
 37806.876,   11.6100
 37806.919,   11.6100
 37806.960,   11.6100
 37807.003,   11.6100
 37807.044,   11.6100
 37807.086,   11.6100
 37807.128,   11.6100
 37807.168,   11.6100
 37807.210,   11.6100
 37807.253,   11.6100
