 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 37859.045,   1,  0.65989484E+09,   0.00000000E+00,  -0.94549806E+09,   0.00000000E+00,   0.00000000E+00,  -0.15626892E+08,   0.00000000E+00,   0.00000000E+00,   0.55205852E-11,
 37860.044,   1,  0.66481711E+09,   0.00000000E+00,  -0.95196441E+09,   0.00000000E+00,   0.00000000E+00,  -0.15734550E+08,   0.00000000E+00,   0.00000000E+00,   0.47033133E-11,
 37861.045,   1,  0.66972827E+09,   0.00000000E+00,  -0.95816216E+09,   0.00000000E+00,   0.00000000E+00,  -0.15850014E+08,   0.00000000E+00,   0.00000000E+00,   0.52888894E-11,
 37862.044,   1,  0.67470830E+09,   0.00000000E+00,  -0.96412337E+09,   0.00000000E+00,   0.00000000E+00,  -0.15950077E+08,   0.00000000E+00,   0.00000000E+00,   0.41575721E-11,
 37863.045,   1,  0.67923991E+09,   0.00000000E+00,  -0.96967622E+09,   0.00000000E+00,   0.00000000E+00,  -0.16034165E+08,   0.00000000E+00,   0.00000000E+00,   0.41231292E-11,
 37864.045,   1,  0.68349894E+09,   0.00000000E+00,  -0.97453863E+09,   0.00000000E+00,   0.00000000E+00,  -0.16122852E+08,   0.00000000E+00,   0.00000000E+00,   0.54915898E-11,
 37865.045,   1,  0.68790394E+09,   0.00000000E+00,  -0.97916332E+09,   0.00000000E+00,   0.00000000E+00,  -0.16214229E+08,   0.00000000E+00,   0.00000000E+00,   0.59512815E-11,
 37866.045,   1,  0.69240000E+09,   0.00000000E+00,  -0.98404725E+09,   0.00000000E+00,   0.00000000E+00,  -0.16305151E+08,   0.00000000E+00,   0.00000000E+00,   0.74517293E-11,
 37867.045,   1,  0.69696539E+09,   0.00000000E+00,  -0.98908112E+09,   0.00000000E+00,   0.00000000E+00,  -0.16417812E+08,   0.00000000E+00,   0.00000000E+00,   0.59501530E-11,
 37868.044,   1,  0.70243341E+09,   0.00000000E+00,  -0.99427937E+09,   0.00000000E+00,   0.00000000E+00,  -0.16523757E+08,   0.00000000E+00,   0.00000000E+00,   0.61272821E-11,
 37869.045,   1,  0.70828852E+09,   0.00000000E+00,  -0.99956040E+09,   0.00000000E+00,   0.00000000E+00,  -0.16624010E+08,   0.00000000E+00,   0.00000000E+00,   0.56140251E-11,
 37870.044,   1,  0.71438157E+09,   0.00000000E+00,  -0.10045110E+10,   0.00000000E+00,   0.00000000E+00,  -0.16756335E+08,   0.00000000E+00,   0.00000000E+00,   0.62928725E-11,
 37871.044,   1,  0.72115537E+09,   0.00000000E+00,  -0.10089367E+10,   0.00000000E+00,   0.00000000E+00,  -0.16866716E+08,   0.00000000E+00,   0.00000000E+00,   0.71608340E-11,
 37872.044,   1,  0.72845816E+09,   0.00000000E+00,  -0.10129621E+10,   0.00000000E+00,   0.00000000E+00,  -0.16955772E+08,   0.00000000E+00,   0.00000000E+00,   0.70783971E-11,
 37873.045,   1,  0.73552166E+09,   0.00000000E+00,  -0.10173659E+10,   0.00000000E+00,   0.00000000E+00,  -0.17044020E+08,   0.00000000E+00,   0.00000000E+00,   0.65609658E-11,
 37874.045,   1,  0.74102988E+09,   0.00000000E+00,  -0.10233039E+10,   0.00000000E+00,   0.00000000E+00,  -0.17126033E+08,   0.00000000E+00,   0.00000000E+00,   0.58927605E-11,
 37875.045,   1,  0.74477943E+09,   0.00000000E+00,  -0.10295545E+10,   0.00000000E+00,   0.00000000E+00,  -0.17206956E+08,   0.00000000E+00,   0.00000000E+00,   0.66713591E-11,
 37876.046,   1,  0.74777700E+09,   0.00000000E+00,  -0.10347249E+10,   0.00000000E+00,   0.00000000E+00,  -0.17283833E+08,   0.00000000E+00,   0.00000000E+00,   0.65632573E-11,
 37877.046,   1,  0.75064607E+09,   0.00000000E+00,  -0.10390239E+10,   0.00000000E+00,   0.00000000E+00,  -0.17366469E+08,   0.00000000E+00,   0.00000000E+00,   0.60629149E-11,
 37878.047,   1,  0.75367787E+09,   0.00000000E+00,  -0.10423906E+10,   0.00000000E+00,   0.00000000E+00,  -0.17433932E+08,   0.00000000E+00,   0.00000000E+00,   0.66000977E-11,
 37879.046,   1,  0.75681444E+09,   0.00000000E+00,  -0.10452529E+10,   0.00000000E+00,   0.00000000E+00,  -0.17529361E+08,   0.00000000E+00,   0.00000000E+00,   0.56688816E-11,
 37880.047,   1,  0.75965684E+09,   0.00000000E+00,  -0.10487244E+10,   0.00000000E+00,   0.00000000E+00,  -0.17607001E+08,   0.00000000E+00,   0.00000000E+00,   0.48395060E-11,
 37881.046,   1,  0.76271104E+09,   0.00000000E+00,  -0.10528763E+10,   0.00000000E+00,   0.00000000E+00,  -0.16586085E+08,   0.00000000E+00,   0.00000000E+00,   0.45079816E-11,
 37882.047,   1,  0.76589526E+09,   0.00000000E+00,  -0.10574063E+10,   0.00000000E+00,   0.00000000E+00,  -0.15760083E+08,   0.00000000E+00,   0.00000000E+00,   0.46555246E-11,
