$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,T(C)
 37427.560,   11.86
 37427.602,   11.86
 37427.646,   11.87
 37427.688,   11.87
 37427.733,   11.87
 37427.774,   11.87
 37427.819,   11.87
 37427.861,   11.87
 37427.903,   11.86
 37427.947,   11.86
 37427.989,   11.86
 37428.034,   11.85
 37428.076,   11.85
 37428.119,   11.86
 37428.162,   11.86
 37428.205,   11.86
 37428.249,   11.86
 37428.290,   11.87
 37428.334,   11.87
 37428.377,   11.87
 37428.419,   11.87
 37428.462,   11.88
 37428.507,   11.88
 37428.549,   11.88
 37428.592,   11.88
 37428.634,   11.89
 37428.679,   11.89
 37428.721,   11.89
 37428.765,   11.89
 37428.807,   11.89
 37428.849,   11.89
 37428.894,   11.89
 37428.936,   11.89
 37428.979,   11.89
 37429.023,   11.89
 37429.065,   11.89
 37429.108,   11.89
 37429.151,   11.89
 37429.194,   11.89
 37429.236,   11.89
 37429.279,   11.89
 37429.322,   11.89
 37429.366,   11.89
 37429.408,   11.89
 37429.452,   11.89
 37429.494,   11.89
 37429.537,   11.89
 37429.581,   11.89
 37429.624,   11.89
 37429.667,   11.89
 37429.709,   11.89
 37429.752,   11.89
 37429.795,   11.89
 37429.838,   11.89
 37429.881,   11.89
 37429.925,   11.89
 37429.968,   11.89
 37430.010,   11.89
 37430.054,   11.89
 37430.097,   11.89
 37430.139,   11.89
 37430.183,   11.89
 37430.226,   11.89
 37430.269,   11.90
 37430.312,   11.90
 37430.355,   11.90
 37430.398,   11.90
 37430.441,   11.91
 37430.484,   11.91
 37430.527,   11.91
 37430.570,   11.91
 37430.613,   11.91
 37430.655,   11.92
 37430.699,   11.91
 37430.742,   11.91
 37430.785,   11.91
 37430.828,   11.91
 37430.871,   11.91
 37430.914,   11.91
 37430.956,   11.90
 37430.999,   11.90
 37431.043,   11.91
 37431.086,   11.91
 37431.129,   11.91
 37431.172,   11.91
 37431.215,   11.91
 37431.258,   11.92
 37431.301,   11.92
 37431.343,   11.92
 37431.386,   11.92
 37431.429,   11.93
 37431.472,   11.93
 37431.515,   11.93
 37431.559,   11.93
 37431.602,   11.93
 37431.645,   11.93
 37431.688,   11.93
 37431.731,   11.93
 37431.774,   11.93
 37431.817,   11.93
 37431.860,   11.93
 37431.902,   11.93
 37431.945,   11.93
 37431.989,   11.93
 37432.031,   11.93
 37432.074,   11.94
 37432.117,   11.93
 37432.161,   11.93
 37432.204,   11.93
 37432.247,   11.93
 37432.290,   11.93
 37432.332,   11.93
 37432.376,   11.94
 37432.418,   11.94
 37432.462,   11.94
 37432.505,   11.94
 37432.547,   11.95
 37432.590,   11.95
 37432.634,   11.96
 37432.677,   11.96
 37432.719,   11.97
 37432.763,   11.97
 37432.806,   11.97
 37432.849,   11.98
 37432.891,   11.98
 37432.934,   11.98
 37432.978,   11.99
 37433.021,   11.99
 37433.063,   11.99
 37433.106,   12.00
 37433.150,   12.00
 37433.192,   12.01
 37433.236,   12.01
 37433.278,   12.02
 37433.321,   12.02
 37433.365,   12.02
 37433.407,   12.02
 37433.451,   12.02
 37433.493,   12.02
 37433.537,   12.01
 37433.579,   12.01
 37433.623,   12.01
 37433.665,   12.00
 37433.709,   12.00
 37433.751,   12.00
 37433.795,   12.00
 37433.837,   12.00
 37433.880,   12.00
 37433.923,   12.00
 37433.966,   12.01
 37434.009,   12.01
 37434.053,   12.01
 37434.095,   12.01
 37434.138,   12.02
 37434.182,   12.02
 37434.224,   12.02
 37434.267,   12.03
 37434.311,   12.03
 37434.353,   12.03
 37434.396,   12.03
 37434.439,   12.03
 37434.482,   12.04
 37434.525,   12.03
 37434.568,   12.03
 37434.611,   12.03
 37434.654,   12.03
 37434.697,   12.03
 37434.740,   12.03
 37434.783,   12.03
 37434.826,   12.03
 37434.870,   12.03
 37434.913,   12.03
 37434.956,   12.03
 37434.998,   12.04
 37435.042,   12.04
 37435.085,   12.04
 37435.128,   12.05
