,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/5/2020 13:00,36164.55,19.44,6.81,0.45,4.03,4.49,411
1/5/2020 14:00,36164.59,19.44,6.14,0.45,4.59,5.28,306
1/5/2020 15:00,36164.63,18.33,5.47,0.89,3.84,5.26,168
1/5/2020 16:00,36164.67,15.56,4.51,0.45,3.68,5.23,38
1/5/2020 17:00,36164.71,12.78,3.36,0.89,0.58,5.21,4
1/5/2020 18:00,36164.76,12.78,4.9,1.79,0.49,5.18,4
1/5/2020 19:00,36164.8,11.11,4.03,2.68,1.03,5.16,4
1/5/2020 20:00,36164.84,10.56,3.96,3.13,1.4,5.13,4
1/5/2020 21:00,36164.88,10.56,4.84,3.58,1.12,5.11,4
1/5/2020 22:00,36164.92,9.44,3.98,3.58,1.54,5.08,4
1/5/2020 23:00,36164.97,8.89,3.86,3.13,1.2,4.9,4
1/6/2020 0:00,36165,9.44,4.6,3.58,1.2,5.03,4
1/6/2020 1:00,36165.04,8.33,3.72,3.58,1.13,5.01,4
1/6/2020 2:00,36165.08,8.89,4.46,4.02,1.12,4.99,4
1/6/2020 3:00,36165.13,7.78,3.57,3.13,1.52,4.96,4
1/6/2020 4:00,36165.17,7.22,3.23,3.58,1.61,4.94,4
1/6/2020 5:00,36165.21,7.78,3.76,3.58,1.43,4.91,4
1/6/2020 6:00,36165.25,6.67,2.87,3.58,1.4,4.89,4
1/6/2020 7:00,36165.29,6.67,2.87,2.24,1.12,4.86,26
1/6/2020 8:00,36165.34,8.89,4.65,1.34,1.45,4.84,147
1/6/2020 9:00,36165.38,12.78,6.75,0.45,4.19,4.81,284
1/6/2020 10:00,36165.42,16.11,9.01,0.45,5.59,4.79,395
1/6/2020 11:00,36165.46,18.89,9.6,0.45,5.39,4.76,464
1/6/2020 12:00,36165.5,20.56,9.12,0.45,3.89,4.74,449
1/6/2020 13:00,36165.55,19.44,6.81,0.45,3.72,4.36,416
1/6/2020 14:00,36165.59,17.78,5.29,0.45,5.04,6.87,260
1/6/2020 15:00,36165.63,17.78,4.62,0.45,4.75,6.8,177
1/6/2020 16:00,36165.67,13.89,2.37,0,1.94,6.72,43
1/6/2020 17:00,36165.71,13.33,3.6,0.45,4.82,6.65,4
1/6/2020 18:00,36165.76,11.67,2.85,0.89,4.08,6.57,4
1/6/2020 19:00,36165.8,11.11,3.32,0.45,5.38,6.5,4
1/6/2020 20:00,36165.84,9.44,2.91,2.68,1.66,6.43,4
1/6/2020 21:00,36165.88,9.44,3.35,1.34,1.68,6.35,4
1/6/2020 22:00,36165.92,7.78,2.38,2.68,1.5,6.28,4
1/6/2020 23:00,36165.97,10,4.72,2.68,0.99,5.06,4
1/7/2020 0:00,36166,7.22,2.26,0.89,4.03,6.13,4
1/7/2020 1:00,36166.04,7.22,3.04,2.68,1.31,6.06,4
1/7/2020 2:00,36166.08,7.22,3.41,2.68,1.45,5.98,4
1/7/2020 3:00,36166.13,6.11,2.52,2.24,1.34,5.91,4
1/7/2020 4:00,36166.17,5.56,1.98,1.34,0.82,5.84,4
1/7/2020 5:00,36166.21,5.56,1.98,2.68,1.36,5.76,4
1/7/2020 6:00,36166.25,5,1.44,2.24,1.45,5.69,4
1/7/2020 7:00,36166.29,5,1.44,2.24,0.99,5.61,25
1/7/2020 8:00,36166.34,7.22,3.04,2.68,1.59,5.54,129
1/7/2020 9:00,36166.38,9.44,3.35,0.89,0.99,5.47,269
1/7/2020 10:00,36166.42,13.33,6.61,0.45,5.71,5.39,392
1/7/2020 11:00,36166.46,15.56,7.76,0.89,3.61,5.32,451
1/7/2020 12:00,36166.5,15,6.48,0.89,4.05,5.25,433
1/7/2020 13:00,36166.55,15,5.96,1.34,4.26,5.85,370
1/7/2020 14:00,36166.59,15,5.7,2.24,3.65,5.88,292
1/7/2020 15:00,36166.63,13.89,4.92,1.34,3.77,5.83,153
1/7/2020 16:00,36166.67,12.22,4.37,0.45,4,5.78,43
1/7/2020 17:00,36166.71,11.11,4.26,0.45,0.52,5.73,4
1/7/2020 18:00,36166.76,9.44,3.98,2.24,1.03,5.68,4
1/7/2020 19:00,36166.8,10,5.13,3.58,1.1,5.64,4
1/7/2020 20:00,36166.84,10,5.13,3.13,1.43,5.59,4
1/7/2020 21:00,36166.88,8.33,3.72,3.58,1.22,5.54,4
1/7/2020 22:00,36166.92,8.89,4.65,3.13,1.45,5.49,4
1/7/2020 23:00,36166.97,7.78,2.59,0.89,2.11,6.21,4
1/8/2020 0:00,36167,7.78,3.76,3.58,1.54,5.4,4
1/8/2020 1:00,36167.04,7.22,3.41,3.58,1.41,5.35,4
1/8/2020 2:00,36167.08,7.78,3.76,3.58,1.33,5.3,4
1/8/2020 3:00,36167.13,6.67,2.87,3.58,1.1,5.25,4
1/8/2020 4:00,36167.17,7.22,3.41,3.58,1.2,5.21,4
1/8/2020 5:00,36167.21,6.11,2.33,2.68,1.31,5.16,4
1/8/2020 6:00,36167.25,6.67,2.87,4.02,1.31,5.11,4
1/8/2020 7:00,36167.29,6.67,2.87,3.58,1.15,5.06,29
1/8/2020 8:00,36167.34,7.22,2.45,3.58,1.13,5.01,162
1/8/2020 9:00,36167.38,10.56,4.41,3.13,1.45,4.97,259
1/8/2020 10:00,36167.42,13.89,5.44,0.45,1.19,4.92,431
1/8/2020 11:00,36167.46,20,9.21,0.45,0.93,4.87,462
1/8/2020 12:00,36167.5,18.89,7.27,1.34,3.91,4.82,449
1/8/2020 13:00,36167.55,18.33,5.47,0.89,3.7,3.83,432
1/8/2020 14:00,36167.59,19.44,4.69,0.89,2.76,4.23,334
1/8/2020 15:00,36167.63,17.22,1.54,1.34,3.42,4.21,195
1/8/2020 16:00,36167.67,15,1.06,0.45,4.12,4.19,54
1/8/2020 17:00,36167.71,12.78,1.05,0.89,1.19,4.17,4
1/8/2020 18:00,36167.76,10.56,1.02,0.89,6.25,4.15,4
1/8/2020 19:00,36167.8,11.11,1.54,0.89,0.75,4.12,4
1/8/2020 20:00,36167.84,8.89,1.23,3.13,0.94,4.1,4
1/8/2020 21:00,36167.88,8.33,1.17,3.13,1.4,4.08,4
1/8/2020 22:00,36167.92,8.33,2.07,3.58,1.12,4.06,4
1/8/2020 23:00,36167.97,8.33,4.3,4.02,1.27,5.44,4
1/9/2020 0:00,36168,6.67,0.91,2.68,1.2,4.02,4
1/9/2020 1:00,36168.04,7.22,1.44,3.13,1.31,3.99,4
1/9/2020 2:00,36168.08,7.22,1.22,3.58,1.06,3.97,4
1/9/2020 3:00,36168.13,6.67,0.69,3.58,1.24,3.95,4
1/9/2020 4:00,36168.17,6.11,-0.26,3.58,1.26,3.93,4
1/9/2020 5:00,36168.21,6.11,0.16,2.68,0.98,3.91,4
1/9/2020 6:00,36168.25,5,-0.9,3.58,1.55,3.89,4
