,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO
1/5/2020 14:00,36164.59,11.67,6.74,1.79,2.16,10,90
1/5/2020 15:00,36164.63,11.11,7.57,1.34,2.67,9.9,35
1/5/2020 16:00,36164.67,10,6.11,1.79,2.36,9.81,13
1/5/2020 17:00,36164.71,9.44,5.76,1.79,2.23,9.71,1
1/5/2020 18:00,36164.76,10.56,7.76,0.89,3.74,9.62,0
1/5/2020 19:00,36164.8,8.33,7.88,0.89,0.52,9.52,0
1/5/2020 20:00,36164.84,7.78,7.33,0.89,6.13,9.43,0
1/5/2020 21:00,36164.88,8.89,8.28,1.79,1.4,9.33,0
1/5/2020 22:00,36164.92,8.89,8.12,1.79,2.08,9.24,0
1/5/2020 23:00,36164.97,9.44,7.53,2.68,0.84,9.13,0
1/6/2020 0:00,36165,8.89,7.81,1.79,2.93,9.05,0
1/6/2020 1:00,36165.04,9.44,8.52,0.89,3.04,8.95,0
1/6/2020 2:00,36165.08,7.78,7.33,0.45,4.63,8.86,0
1/6/2020 3:00,36165.13,7.22,5.83,2.68,0.44,8.76,0
1/6/2020 4:00,36165.17,6.67,4.63,1.79,6.25,8.67,0
1/6/2020 5:00,36165.21,6.67,5.12,0.45,1.19,8.57,0
1/6/2020 6:00,36165.25,6.11,5.51,0.89,3.98,8.48,0
1/6/2020 7:00,36165.29,5.56,4.96,0.45,4.1,8.38,17
1/6/2020 8:00,36165.34,6.67,5.76,0.45,1.78,8.29,109
1/6/2020 9:00,36165.38,8.89,7.32,0,3,8.19,175
1/6/2020 10:00,36165.42,10.56,7.58,1.34,1.95,8.1,231
1/6/2020 11:00,36165.46,12.22,8.84,0.89,1.31,8,449
1/6/2020 12:00,36165.5,11.11,5.58,1.34,1.55,7.91,312
1/6/2020 13:00,36165.55,13.33,5.9,0.45,2.65,7.35,308
1/6/2020 14:00,36165.59,10.56,3.74,0.45,2.16,8.69,191
1/6/2020 15:00,36165.63,10.56,5.05,0.45,1.95,8.47,101
1/6/2020 16:00,36165.67,9.44,3.98,0.89,2.43,8.25,20
1/6/2020 17:00,36165.71,8.33,3.33,1.34,1.52,8.04,4
